task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session
No;tellers;doctors/All;climbers;tellers,No;climbers;doctors,All;doctors;climbers|All;climbers;doctors|No;doctors;climbers|No;climbers;doctors|Some;doctors;climbers|Some;climbers;doctors|Some not;doctors;climbers|Some not;climbers;doctors|Most;doctors;climbers|Most;climbers;doctors|Most not;doctors;climbers|Most not;climbers;doctors|NVC,syllogistic-generalized,single-choice,participant_0,51,28572.0,EA2,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;poets;waiters/Some not;poets;cashiers,No;waiters;cashiers,All;waiters;cashiers|All;cashiers;waiters|No;waiters;cashiers|No;cashiers;waiters|Some;waiters;cashiers|Some;cashiers;waiters|Some not;waiters;cashiers|Some not;cashiers;waiters|Most;waiters;cashiers|Most;cashiers;waiters|Most not;waiters;cashiers|Most not;cashiers;waiters|NVC,syllogistic-generalized,single-choice,participant_0,52,59239.0,EO4,Eac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
All;waiters;cashiers/All;poets;waiters,All;poets;cashiers,All;cashiers;poets|All;poets;cashiers|No;cashiers;poets|No;poets;cashiers|Some;cashiers;poets|Some;poets;cashiers|Some not;cashiers;poets|Some not;poets;cashiers|Most;cashiers;poets|Most;poets;cashiers|Most not;cashiers;poets|Most not;poets;cashiers|NVC,syllogistic-generalized,single-choice,participant_0,53,15699.0,AA2,Aca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some;boxers;opticians/No;actuaries;boxers,No;actuaries;opticians,All;opticians;actuaries|All;actuaries;opticians|No;opticians;actuaries|No;actuaries;opticians|Some;opticians;actuaries|Some;actuaries;opticians|Some not;opticians;actuaries|Some not;actuaries;opticians|Most;opticians;actuaries|Most;actuaries;opticians|Most not;opticians;actuaries|Most not;actuaries;opticians|NVC,syllogistic-generalized,single-choice,participant_0,54,30869.0,IE2,Eca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some not;carpenters;divers/No;linguists;divers,Some not;linguists;carpenters,All;carpenters;linguists|All;linguists;carpenters|No;carpenters;linguists|No;linguists;carpenters|Some;carpenters;linguists|Some;linguists;carpenters|Some not;carpenters;linguists|Some not;linguists;carpenters|Most;carpenters;linguists|Most;linguists;carpenters|Most not;carpenters;linguists|Most not;linguists;carpenters|NVC,syllogistic-generalized,single-choice,participant_0,55,93436.0,OE3,Oca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some not;managers;models/Most;managers;clerks,Some;models;clerks,All;models;clerks|All;clerks;models|No;models;clerks|No;clerks;models|Some;models;clerks|Some;clerks;models|Some not;models;clerks|Some not;clerks;models|Most;models;clerks|Most;clerks;models|Most not;models;clerks|Most not;clerks;models|NVC,syllogistic-generalized,single-choice,participant_0,56,62525.0,OT4,Iac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
All;engineers;campers/Some not;fencers;engineers,Some not;campers;fencers,All;campers;fencers|All;fencers;campers|No;campers;fencers|No;fencers;campers|Some;campers;fencers|Some;fencers;campers|Some not;campers;fencers|Some not;fencers;campers|Most;campers;fencers|Most;fencers;campers|Most not;campers;fencers|Most not;fencers;campers|NVC,syllogistic-generalized,single-choice,participant_0,57,63199.0,AO2,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
All;cyclists;buyers/Some not;buyers;students,Some not;cyclists;students,All;cyclists;students|All;students;cyclists|No;cyclists;students|No;students;cyclists|Some;cyclists;students|Some;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|Most;cyclists;students|Most;students;cyclists|Most not;cyclists;students|Most not;students;cyclists|NVC,syllogistic-generalized,single-choice,participant_0,58,2682.0,AO1,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Most not;judges;porters/Most not;porters;brewers,NVC,All;judges;brewers|All;brewers;judges|No;judges;brewers|No;brewers;judges|Some;judges;brewers|Some;brewers;judges|Some not;judges;brewers|Some not;brewers;judges|Most;judges;brewers|Most;brewers;judges|Most not;judges;brewers|Most not;brewers;judges|NVC,syllogistic-generalized,single-choice,participant_0,59,17719.0,DD1,NVC,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some;surfers;artists/Some not;artists;planners,Some not;surfers;planners,All;surfers;planners|All;planners;surfers|No;surfers;planners|No;planners;surfers|Some;surfers;planners|Some;planners;surfers|Some not;surfers;planners|Some not;planners;surfers|Most;surfers;planners|Most;planners;surfers|Most not;surfers;planners|Most not;planners;surfers|NVC,syllogistic-generalized,single-choice,participant_0,60,3412.0,IO1,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some not;secretaries;brokers/Most not;agents;secretaries,Some not;brokers;agents,All;brokers;agents|All;agents;brokers|No;brokers;agents|No;agents;brokers|Some;brokers;agents|Some;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|Most;brokers;agents|Most;agents;brokers|Most not;brokers;agents|Most not;agents;brokers|NVC,syllogistic-generalized,single-choice,participant_0,61,17911.0,OD2,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
No;riders;joggers/No;counselors;riders,No;counselors;joggers,All;joggers;counselors|All;counselors;joggers|No;joggers;counselors|No;counselors;joggers|Some;joggers;counselors|Some;counselors;joggers|Some not;joggers;counselors|Some not;counselors;joggers|Most;joggers;counselors|Most;counselors;joggers|Most not;joggers;counselors|Most not;counselors;joggers|NVC,syllogistic-generalized,single-choice,participant_0,62,2319.0,EE2,Eca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Most;travelers;novelists/Some;analysts;novelists,Some;analysts;travelers,All;travelers;analysts|All;analysts;travelers|No;travelers;analysts|No;analysts;travelers|Some;travelers;analysts|Some;analysts;travelers|Some not;travelers;analysts|Some not;analysts;travelers|Most;travelers;analysts|Most;analysts;travelers|Most not;travelers;analysts|Most not;analysts;travelers|NVC,syllogistic-generalized,single-choice,participant_0,63,21627.0,TI3,Ica,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some;workers;actors/Most;workers;painters,Some;painters;actors,All;actors;painters|All;painters;actors|No;actors;painters|No;painters;actors|Some;actors;painters|Some;painters;actors|Some not;actors;painters|Some not;painters;actors|Most;actors;painters|Most;painters;actors|Most not;actors;painters|Most not;painters;actors|NVC,syllogistic-generalized,single-choice,participant_0,64,36604.0,IT4,Ica,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Most not;cooks;mayors/All;cooks;swimmers,Most not;swimmers;mayors,All;mayors;swimmers|All;swimmers;mayors|No;mayors;swimmers|No;swimmers;mayors|Some;mayors;swimmers|Some;swimmers;mayors|Some not;mayors;swimmers|Some not;swimmers;mayors|Most;mayors;swimmers|Most;swimmers;mayors|Most not;mayors;swimmers|Most not;swimmers;mayors|NVC,syllogistic-generalized,single-choice,participant_0,65,25950.0,DA4,Dca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some not;editors;florists/Some not;editors;soldiers,NVC,All;florists;soldiers|All;soldiers;florists|No;florists;soldiers|No;soldiers;florists|Some;florists;soldiers|Some;soldiers;florists|Some not;florists;soldiers|Some not;soldiers;florists|Most;florists;soldiers|Most;soldiers;florists|Most not;florists;soldiers|Most not;soldiers;florists|NVC,syllogistic-generalized,single-choice,participant_0,66,22536.0,OO4,NVC,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Most;typists;dancers/Most;boxers;typists,Most;boxers;dancers,All;dancers;boxers|All;boxers;dancers|No;dancers;boxers|No;boxers;dancers|Some;dancers;boxers|Some;boxers;dancers|Some not;dancers;boxers|Some not;boxers;dancers|Most;dancers;boxers|Most;boxers;dancers|Most not;dancers;boxers|Most not;boxers;dancers|NVC,syllogistic-generalized,single-choice,participant_0,67,10797.0,TT2,Tca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Most not;golfers;teachers/Most not;golfers;bankers,Some not;bankers;teachers,All;teachers;bankers|All;bankers;teachers|No;teachers;bankers|No;bankers;teachers|Some;teachers;bankers|Some;bankers;teachers|Some not;teachers;bankers|Some not;bankers;teachers|Most;teachers;bankers|Most;bankers;teachers|Most not;teachers;bankers|Most not;bankers;teachers|NVC,syllogistic-generalized,single-choice,participant_0,68,5108.0,DD4,Oca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some not;skaters;miners/All;poets;miners,Some not;skaters;poets,All;skaters;poets|All;poets;skaters|No;skaters;poets|No;poets;skaters|Some;skaters;poets|Some;poets;skaters|Some not;skaters;poets|Some not;poets;skaters|Most;skaters;poets|Most;poets;skaters|Most not;skaters;poets|Most not;poets;skaters|NVC,syllogistic-generalized,single-choice,participant_0,69,13733.0,OA3,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some not;investors;barbers/All;investors;jugglers,Some not;jugglers;barbers,All;barbers;jugglers|All;jugglers;barbers|No;barbers;jugglers|No;jugglers;barbers|Some;barbers;jugglers|Some;jugglers;barbers|Some not;barbers;jugglers|Some not;jugglers;barbers|Most;barbers;jugglers|Most;jugglers;barbers|Most not;barbers;jugglers|Most not;jugglers;barbers|NVC,syllogistic-generalized,single-choice,participant_0,70,26818.0,OA4,Oca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Most not;designers;trainers/Most not;architects;trainers,NVC,All;designers;architects|All;architects;designers|No;designers;architects|No;architects;designers|Some;designers;architects|Some;architects;designers|Some not;designers;architects|Some not;architects;designers|Most;designers;architects|Most;architects;designers|Most not;designers;architects|Most not;architects;designers|NVC,syllogistic-generalized,single-choice,participant_0,71,44486.0,DD3,NVC,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some not;lifeguards;plumbers/No;dentists;lifeguards,Some not;plumbers;dentists,All;plumbers;dentists|All;dentists;plumbers|No;plumbers;dentists|No;dentists;plumbers|Some;plumbers;dentists|Some;dentists;plumbers|Some not;plumbers;dentists|Some not;dentists;plumbers|Most;plumbers;dentists|Most;dentists;plumbers|Most not;plumbers;dentists|Most not;dentists;plumbers|NVC,syllogistic-generalized,single-choice,participant_0,72,21950.0,OE2,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some not;lawyers;athletes/Most;hunters;athletes,Some not;hunters;lawyers,All;lawyers;hunters|All;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|Most;lawyers;hunters|Most;hunters;lawyers|Most not;lawyers;hunters|Most not;hunters;lawyers|NVC,syllogistic-generalized,single-choice,participant_0,73,63479.0,OT3,Oca,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
Some not;cleaners;auditors/Most not;auditors;painters,Some not;cleaners;painters,All;cleaners;painters|All;painters;cleaners|No;cleaners;painters|No;painters;cleaners|Some;cleaners;painters|Some;painters;cleaners|Some not;cleaners;painters|Some not;painters;cleaners|Most;cleaners;painters|Most;painters;cleaners|Most not;cleaners;painters|Most not;painters;cleaners|NVC,syllogistic-generalized,single-choice,participant_0,74,38287.0,OD1,Oac,male,bachelors,5,75,95,60,yes,"I tried to see and remember a pattern in the two statements again, if I saw two types of statement that I knew a correct answer for, I would choose it.",no,40,85,70,yes,,,2
